tiempo,tension,corriente,potencia,energia,velocidad,potencia_objetivo
0.00,60.00,29.00,1740.00,0.00,0.00,0.00
0.00,60.00,31.00,1860.00,0.00,0.00,0.00
0.00,60.00,32.00,1920.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,32.00,1920.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,32.00,1920.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,59.00,33.00,1947.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,32.00,1920.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,32.00,1920.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,59.00,33.00,1947.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,34.00,2040.00,0.00,0.00,0.00
0.00,60.00,34.00,2040.00,0.00,0.00,0.00
0.00,60.00,34.00,2040.00,0.00,0.00,0.00
0.00,60.00,34.00,2040.00,0.00,0.00,0.00
0.00,60.00,34.00,2040.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,32.00,1920.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
0.00,60.00,34.00,2040.00,0.00,0.00,0.00
0.00,60.00,33.00,1980.00,0.00,0.00,0.00
