tiempo,tension,corriente,potencia,energia,velocidad
0.00,0.00,0.00,0.00,0.00,nan
0.00,0.00,0.00,0.00,0.00,nan
0.00,0.00,0.00,0.00,0.00,nan
0.00,0.00,0.00,0.00,0.00,nan
0.00,0.00,0.00,0.00,0.00,nan
0.00,0.00,0.00,0.00,0.00,nan
0.00,8.00,0.00,0.00,0.00,nan
0.00,13.00,0.00,0.00,0.00,nan
0.00,21.00,0.00,0.00,0.00,nan
0.00,32.00,0.00,0.00,0.00,nan
0.00,41.00,5.00,205.00,0.69,nan
0.00,49.00,21.00,1029.00,4.43,nan
0.00,57.00,24.00,1368.00,9.78,nan
0.00,60.00,31.00,1860.00,17.57,nan
0.00,60.00,34.00,2040.00,26.68,nan
0.00,60.00,29.00,1740.00,34.93,nan
0.01,60.00,36.00,2160.00,45.78,nan
0.01,60.00,34.00,2040.00,56.59,nan
0.01,60.00,31.00,1860.00,66.96,nan
0.01,60.00,37.00,2220.00,79.96,nan
0.01,60.00,33.00,1980.00,92.10,nan
0.01,60.00,32.00,1920.00,104.41,nan
